@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-7,29'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute livingGhost1 {True,False}
@attribute livingGhost2 {True,False}
@attribute livingGhost3 {True,False}
@attribute livingGhost4 {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
6,11,-7,6,2,2,13,6,5,6,9,8,11,14,6,False,True,True,True,True,True,True,True,True,East
7,11,-8,7,3,1,12,6,5,6,9,8,11,14,6,False,False,True,True,True,True,True,True,True,East
8,11,191,8,4,-1,11,6,5,6,9,5,1,14,6,False,False,True,True,True,True,True,False,True,East
7,11,190,7,3,-1,12,6,5,6,9,5,1,14,6,False,False,True,True,True,True,True,False,True,West
6,11,189,6,2,-1,13,6,5,6,9,5,1,14,6,False,True,True,True,True,True,True,False,True,West
6,10,188,5,1,-1,12,6,5,6,9,5,1,14,6,True,True,False,True,True,True,True,False,True,South
6,9,387,4,-1,-1,11,6,5,3,1,5,1,14,6,True,True,True,True,True,True,False,False,True,South
6,8,386,3,-1,-1,10,6,5,3,1,5,1,14,6,True,True,True,True,True,True,False,False,True,South
7,8,385,4,-1,-1,9,6,5,3,1,5,1,14,6,True,True,True,True,True,True,False,False,True,East
8,8,384,5,-1,-1,8,6,5,3,1,5,1,14,6,True,True,True,True,True,True,False,False,True,East
9,8,383,6,-1,-1,7,6,5,3,1,5,1,14,6,True,True,True,True,True,True,False,False,True,East
10,8,382,7,-1,-1,6,6,5,3,1,5,1,14,6,True,True,False,True,True,True,False,False,True,East
10,7,381,6,-1,-1,5,6,5,3,1,5,1,14,6,True,True,False,True,True,True,False,False,True,South
10,6,480,5,-1,-1,4,6,5,3,1,5,1,14,6,True,True,False,True,True,True,False,False,True,South
10,5,479,4,-1,-1,5,6,5,3,1,5,1,14,6,True,True,True,True,True,True,False,False,True,South
9,5,478,3,-1,-1,6,6,5,3,1,5,1,14,6,True,True,True,True,True,True,False,False,True,West
8,5,477,2,-1,-1,7,6,5,3,1,5,1,14,6,True,True,True,True,True,True,False,False,True,West
7,5,476,1,-1,-1,8,6,5,3,1,5,1,14,6,False,True,True,True,True,True,False,False,True,West
6,5,675,-1,-1,-1,9,1,1,3,1,5,1,14,6,False,True,True,True,True,False,False,False,True,West
7,5,674,-1,-1,-1,8,1,1,3,1,5,1,14,6,False,True,True,True,True,False,False,False,True,East
